Index	xSource	ySource	xTarget	yTarget
  248	    393	    193	    397	    192
  249	    430	      8	    430	      8
  250	    389	     13	    389	     13
  251	    363	     20	    363	     20
  252	    328	    352	    328	    352
  253	    327	    345	    327	    345
  254	    314	    337	    317	    329
  255	    300	    294	    302	    283
  256	    316	    325	    318	    317
  257	    315	    291	    316	    282
  258	    323	    227	    327	    219
  259	    316	    239	    318	    230
  260	    332	    278	    333	    277
  261	    350	    301	    350	    301
  262	    347	    318	    347	    318
  263	    337	    293	    337	    293
  264	    377	    230	    377	    230
